phase,mode,condition,case_id,acc,tokens,latency_ms
1,none,C1,eval_001,1.0,9389.6,9759.111059000134
1,none,C1,eval_002,1.0,9223.2,10312.851234004484
1,none,C1,eval_003,1.0,9035.4,9809.593276993835
1,none,C1,eval_004,1.0,9290.8,9702.095001004636
1,none,C1,eval_005,1.0,6201.6,8560.661595998681
1,none,C1,eval_006,1.0,8973.0,10486.648011996294
1,none,C1,eval_007,1.0,9074.8,10596.707037999297
1,none,C1,eval_008,0.6,8608.4,10195.450817001984
1,none,C1,eval_009,1.0,8970.4,8985.908793998533
1,none,C1,eval_010,1.0,7112.0,7034.923086001072
1,none,C1,eval_011,0.6,12795.8,12232.069325997143
1,none,C1,eval_012,0.6,12317.0,12618.096655001864
1,none,C1,eval_013,1.0,9328.6,11507.18483500532
1,none,C1,eval_014,0.4,9810.4,11045.658517992706
1,none,C1,eval_015,1.0,9218.6,11469.033396002487
1,none,C1,eval_016,0.8,10341.6,10810.515823992318
1,none,C1,eval_017,1.0,10482.4,13043.88345600455
1,none,C1,eval_018,0.2,11552.2,11877.857434010366
1,none,C1,eval_019,0.6,9753.2,11372.763733001191
1,none,C1,eval_020,0.8,11686.4,12055.19767900114
1,none,C1,eval_021,0.6,12803.8,12104.991611005971
1,none,C1,eval_022,0.4,12774.4,12483.149958992726
1,none,C1,eval_023,0.4,12800.6,12465.095773994108
1,none,C1,eval_024,0.2,14810.6,13299.273255004664
1,none,C1,eval_025,1.0,15219.0,13991.703291001611
1,none,C1,eval_026,1.0,12010.8,11227.407051002956
1,none,C1,eval_027,0.8,13199.8,11280.65706900088
1,none,C1,eval_028,0.4,11767.6,11608.782456998597
1,none,C1,eval_029,0.8,15349.2,14798.203970000031
1,none,C1,eval_030,0.6,12260.4,14088.737275000312
1,none,C1,eval_031,0.4,14821.4,17139.28725599544
1,none,C1,eval_032,0.2,13058.4,15986.235756994574
1,none,C1,eval_033,1.0,10444.0,12513.338364995434
1,none,C1,eval_034,1.0,11254.0,14641.198356999666
1,none,C1,eval_035,1.0,11583.0,14625.021546002245
1,none,C1,eval_036,0.6,15261.2,14898.854451996158
1,none,C1,eval_037,0.8,14000.6,14228.294027008817
1,none,C1,eval_038,0.0,13288.4,15082.452236005338
1,none,C1,eval_039,1.0,10849.2,13486.0829780082
1,none,C1,eval_040,0.0,11945.4,12458.004872998572
1,none,C2,eval_001,1.0,11973.2,14117.776746003074
1,none,C2,eval_002,1.0,11998.4,14139.964232002969
1,none,C2,eval_003,0.6,12819.6,14876.30143800925
1,none,C2,eval_004,0.4,12774.4,16386.816907994216
1,none,C2,eval_005,1.0,10735.2,12911.956530006137
1,none,C2,eval_006,1.0,10720.8,12465.95094400982
1,none,C2,eval_007,1.0,11186.4,14219.859927994548
1,none,C2,eval_008,0.4,12816.4,15841.418281997903
1,none,C2,eval_009,1.0,12396.4,15340.910940009053
1,none,C2,eval_010,1.0,10665.4,12341.12673799973
1,none,C2,eval_011,0.8,16588.8,20590.145509006103
1,none,C2,eval_012,1.0,12633.0,15952.441795991035
1,none,C2,eval_013,0.8,13007.4,15599.322403009865
1,none,C2,eval_014,1.0,11693.0,15171.236784008215
1,none,C2,eval_015,0.8,12987.8,15927.108578005573
1,none,C2,eval_016,0.8,12639.6,16608.54925599415
1,none,C2,eval_017,0.8,13071.8,15952.687348995823
1,none,C2,eval_018,1.0,12953.2,14917.34860300494
1,none,C2,eval_019,0.8,12949.0,14613.78990500816
1,none,C2,eval_020,1.0,12594.0,14433.76687100681
1,none,C2,eval_021,1.0,13017.0,16421.182592996047
1,none,C2,eval_022,1.0,12988.0,15666.387691002456
1,none,C2,eval_023,0.6,26858.2,24765.10693199816
1,none,C2,eval_024,0.4,23620.0,18393.97774399549
1,none,C2,eval_025,1.0,12201.4,14511.791162003648
1,none,C2,eval_026,1.0,10773.8,12829.635752001195
1,none,C2,eval_027,1.0,10868.4,13251.805337000404
1,none,C2,eval_028,0.4,25551.6,31654.51703300641
1,none,C2,eval_029,1.0,12162.4,15492.616417002864
1,none,C2,eval_030,1.0,12632.2,15589.076161006233
1,none,C2,eval_031,0.2,29799.6,30994.72422199324
1,none,C2,eval_032,1.0,13255.4,19149.872516005416
1,none,C2,eval_033,1.0,11699.8,16291.881800003466
1,none,C2,eval_034,1.0,13973.0,19725.26623000158
1,none,C2,eval_035,1.0,12954.2,17328.261265996844
1,none,C2,eval_036,0.8,16241.6,17985.98209999909
1,none,C2,eval_037,0.6,39322.6,34992.50129300344
1,none,C2,eval_038,1.0,13425.4,16884.964351003873
1,none,C2,eval_039,1.0,11689.0,16095.13075099676
1,none,C2,eval_040,0.0,11366.0,15193.99083899043
1,none,C3,eval_001,1.0,10530.0,14838.888548998511
1,none,C3,eval_002,1.0,12558.0,16119.804923000627
1,none,C3,eval_003,1.0,11756.6,15237.985095998738
1,none,C3,eval_004,0.4,12618.6,16549.722237003152
1,none,C3,eval_005,1.0,10428.6,14912.3602220061
1,none,C3,eval_006,1.0,10466.2,13420.890066001448
1,none,C3,eval_007,1.0,11747.2,15298.152265997487
1,none,C3,eval_008,0.2,13578.6,17689.714517007815
1,none,C3,eval_009,1.0,11714.2,15581.190438999329
1,none,C3,eval_010,1.0,10473.8,13585.598090998246
1,none,C3,eval_011,1.0,12091.0,16463.927443997818
1,none,C3,eval_012,1.0,13052.2,16404.695174001972
1,none,C3,eval_013,0.8,11783.0,15512.433451993276
1,none,C3,eval_014,1.0,11212.4,16209.51438799966
1,none,C3,eval_015,1.0,12947.0,17417.940330007696
1,none,C3,eval_016,0.6,14427.2,17004.168336992734
1,none,C3,eval_017,1.0,12607.8,16417.7531000023
1,none,C3,eval_018,1.0,13683.0,17985.771342006046
1,none,C3,eval_019,1.0,13215.6,15505.22709399229
1,none,C3,eval_020,0.8,12241.8,16045.380106006633
1,none,C3,eval_021,1.0,11543.0,17699.173095999868
1,none,C3,eval_022,0.8,12657.0,16845.553998005926
1,none,C3,eval_023,1.0,12568.2,16496.75724899862
1,none,C3,eval_024,0.6,13148.4,17029.210660999524
1,none,C3,eval_025,1.0,13045.2,18293.83205900376
1,none,C3,eval_026,1.0,10826.4,15018.233789000078
1,none,C3,eval_027,1.0,10781.6,14727.768438009662
1,none,C3,eval_028,0.6,21518.6,20515.530160992057
